Nom,Message
"Léa NASH, professeure de linguistique, UFR SDL - UMR SFL PARIS8/CNRS","J’ai, depuis mon arrivée à Paris 8 en 1987, toujours été enthousiasmée à l’idée de me trouver dans l’héritière de la fac de Vincennes, dont les traits distinctifs – pour employer un terme de ma discipline – étaient parvenus jusqu’à mon pays. C’est aujourd’hui la nécessité de les préserver dans les conditions entièrement différentes du présent qui me poussent à m’engager afin d'aider à relever le redoutable défi qui nous attend : celui d’avoir à concilier l’excellence – il ne faut pas avoir peur de ce mot – et l’ouverture."
"Nouria Hadjal RAF à l’UFR Arts, Philosophie & Esthétique","Mon engagement auprès du projet de la liste Paris 8 En Actes s’est fait naturellement, car je partage cette volonté de bâtir un projet ambitieux et collectif pour l’Université Paris 8, où chaque voix est entendue et où la réflexion se nourrit de manière ouverte et collaborative.

Sensible au développement professionnel, à l’expérience et au bien-être des personnels BIATSS, ces enjeux sont au cœur de ce projet et donc au cœur de la réussite de notre établissement. Accompagner et soutenir les BIATSS dans la valorisation de leur parcours professionnel nécessite désormais de travailler à une reconnaissance de leur investissement et des expertises qu’ils apportent au quotidien. Ce projet intègre des idées concrètes et innovantes, notamment l’introduction d’une approche avant-gardiste encore peu développée dans les universités : la gestion et la révélation des talents.

En valorisant les nombreuses compétences internes qui font la richesse de Paris 8, il ambitionne d’offrir à chacun des opportunités d’évolution, de requalification à moyen terme, et de permettre à chaque personne de construire une trajectoire professionnelle épanouissante, tout en retrouvant du sens dans son engagement.

Dans son ensemble, ce projet nous invite à imaginer un avenir où chacun pourra s’épanouir tant sur le plan professionnel que personnel. Il permettra de faire de l’Université Paris 8 un lieu de travail fondé sur la reconnaissance, le respect, l’engagement et l’expérience de chacun, où l’on valorise véritablement les contributions et compétences de tous."
"Kate Naidenov, UFR Culture et communication","Je soutiens le projet d'établissement Paris 8 En Actes en raison de son potentiel avéré à accompagner les étudiants dans leurs parcours professionnalisants. Cette dynamique me tient particulièrement à cœur, car elle me permet d’encadrer et accompagner les étudiants dans leurs choix. Ayant pu observer directement les résultats de ce type de démarche, je peux témoigner de l'impact positif qu'elle a sur l'épanouissement aussi bien professionnel que personnel des étudiants. J'ai pleinement conscience des enjeux et des défis liés à ce type de formation et, pour moi, le projet d'AL vise à renforcer ces dispositifs pédagogiques, permettant aux étudiants de choisir des parcours de formation en adéquation avec leurs attentes. C'est pourquoi j'adhère pleinement au projet Paris 8 En Actes."
"Everardo Reyes, UFR STN, Dépt. Humanités numériques","Le numérique, en tant qu’élément transversal, offre une opportunité unique de renforcer les synergies entre les axes de la liste Paris 8 En Actes. Le numérique peut, par exemple, favoriser une meilleure articulation entre la formation et la recherche (axe 1) grâce à des méthodes pédagogiques innovantes s'inspirant des travaux de recherche utilisant des technologies ouvertes. Le numérique peut également améliorer les conditions d’études et de vie (axe 2) en facilitant l’accès aux ressources pédagogiques et en renforçant les pratiques de documentation, de partage et de préservation. En ce qui concerne l’affirmation du rôle de Paris 8 dans la société (axe 3), le numérique est un levier majeur pour amplifier la visibilité de notre production scientifique et renforcer nos partenariats. D’ailleurs, le récent projet de labellisation de notre Atelier de la donnée a été construit avec l’Université Sorbonne Paris Nord, la MSH Paris Nord, ISAE-Supméca - Institut supérieur de mécanique de Paris, et le département de la Seine-Saint-Denis. Enfin, le numérique joue un rôle clé dans la transversalité et l’amélioration des conditions de travail (axes 4 et 5), notamment par la dématérialisation des processus et l’amélioration des infrastructures. Le récent Schéma directeur du numérique de notre université sera un atout. Pour ces raisons, je soutiens la liste Paris 8 En Actes."
"Hanane Boutenbat, UFR LLCER-LEA, Centre de Langues","J’adhère au projet d’Arnaud Laimé Paris 8 En Actes car je souscris pleinement aux diverses dynamiques et actions menées et à venir au sein de notre communauté universitaire pour son évolution et son épanouissement alors même que les universités, aujourd’hui plus qu’hier, disposent d’une latitude limitée eu égard aux multiples injonctions et réformes institutionnelles. Ces actions tournées vers l’ouverture, l’inclusion et la réussite s’appuient sur des dispositifs de formation et de recherche, permettant à ce que chacun, étudiant, personnel administratif ou enseignant, puisse trouver la voie qui lui convient, dans le respect de la diversité enrichissante. Partant des expériences de terrain, que j’ai menées auprès des formations, des étudiants, et des collègues enseignants et administratifs, je mesure l’importance d’œuvrer et de s’engager pour une solidarité sincère et une collaboration effective, élargies à toute la communauté, condition préalable à un agir collectif et collégial. Le projet Paris 8 En Actes concourt de façon déterminante et concrète à relever les défis présents et futurs auxquels notre communauté est/sera confrontée. Pour toutes ces raisons,  je soutiens sans réserve le projet de la liste Paris 8 En Actes."
"Marie Nadia Karsky, UFR LCE","J'ai choisi de rejoindre le projet Paris 8 En Actes parce qu'il promeut le rayonnement et l'engagement responsable de notre université.
Par ses dimensions d'écoute, de dialogue, d'ouverture à la nuance, par la réflexion équilibrée, rationnelle mais profondément humaine qu'il a développée au cours de ces dernières années, ce projet me semble en effet le plus apte à lutter pour le maintien de valeurs de tolérance et d'égalité des chances souvent remises en cause dans le monde actuel."
"Sophie MOLINIER, MCF en droit, Responsable pédagogique de la Clinique Juridique de Paris 8","La clinique juridique de Paris 8 est désormais bien connue en France, ce d’autant qu’elle a fait l’objet d’un film Droit dans les yeux sorti en salles en février 2023. Elle fait partie intégrante de l’UFR de droit et dispense un enseignement à tous les étudiants de droit qui le désirent, de L2 jusqu’en M2 inclus, ainsi que dans le cadre d’un DU spécifique. Pour mémoire, il s’agit d’un mode d’enseignement qui fait appel à une pédagogie innovante : les étudiants en droit tiennent des permanences juridiques de 3 heures qui s’adressent au public, notamment aux justiciables en situation de précarité, qui ont besoin d’une première aide juridique. Ces justiciables viennent librement à nos permanences locales (de telles permanences sont tenues localement à Paris, dans le bureau A218, par tranches de trois heures, quatre jours par semaine) ou selon les modalités fixées par nos partenaires, s’agissant de nos permanences délocalisées ; la clinique juridique a, en effet, actuellement 15 partenaires : le Défenseur des droits, la BNF, la Bibliothèque Pompidou, la Mission locale de Saint Denis, l’association des copropriétaires de La Courneuve, la Commune de Mitry-Mory, l’Espace Beaujon, le point d’accès au droit des Fossés Saint Jean, la commune de Villejuif, l’hôpital Delafontaine de Saint Denis, le PRIJ Val d’Oise Est (permanences de Sarcelles, Argenteuil et Villiers-le-Bel), l’INJS (établissement pour les Jeunes Sourds), le PRIJ de Bièvres (qui gère des dossiers des détenus de Fleury-Mérogis et Fresnes), le centre de médiation de la commune de Stains et la Ville de Paris (deux points d’accès au droit pour le moment, mais le chargé de mission communal à l’accès au droit nous rajoute des permanences à intervalles réguliers). D’autres partenariats sont en cours de négociation (3), notamment avec l’Observatoire International des Prisons, lequel permettra aux étudiants de tenir des permanences en milieu fermé, après évidemment y avoir été préparés en amont. Pour mémoire, les 200 cliniciens de l’UFR de droit ont traité, en 2023/2024, 524 dossiers de justiciables, dans les matières les plus diverses. Cette année, les cliniciens sont plus de 300 et, fin décembre, auront déjà traité 200 cas de justiciables. On notera que sur tous ces dossiers, un nombre non négligeable provient de la communauté universitaire, personnels et usagers, qui se rendent de plus en plus régulièrement à nos permanences locales (un numéro de l’intraP8 a été consacré à la clinique l’année dernière). La Clinique juridique rend donc un véritable service, que ce soit au profit de la communauté universitaire que du territoire du 93 et de l’Ile-de-France. 

La Clinique juridique de Paris s’inscrit ainsi aujourd’hui dans le paysage universitaire comme la clinique la plus ancienne et la plus importante de France. Elle est également bien ancrée dans le paysage de l’accès au droit et est désormais reconnue comme un véritable acteur en ce domaine, notamment dans le 93. Pour tout transfert de compétence interne (demandes émanant d’universités françaises) ou internationales (ministère des affaires étrangères ou Agence Universitaire de la Francophonie), les demandes nous sont donc toujours en priorité adressées. 

Dans ce cadre, la Clinique juridique a déjà participé à des projets internationaux. Je citerai en exemple le projet qui vient de s’achever en décembre (il aura duré deux ans) et qui a permis de nouer un partenariat entre Paris 8 et l’AUF pour la création de cliniques juridiques au sein des facultés de droit de diverses universités de cinq pays du Moyen Orient : Liban, Egypte, Territoires palestiniens, Irak et Jordanie. Paris 8 a été le partenaire privilégié de ce projet, car nous disposons d’une expérience et d’un savoir-faire assez uniques en France, puisque la Clinique juridique qui a fêté ses dix ans il y a deux ans, a reçu et traité les cas de centaines de justiciables chaque année. La clinique juridique de Paris 8 a aussi participé à la création d’une clinique juridique à l’université Houphoët Boigny à Abidjan, à l’université de la Sagesse à Beyrouth (la responsable est parvenue à convaincre le bâtonnier que la création d’une clinique juridique n’entraîne pas de concurrence déloyale au détriment des avocats), ainsi qu’à Mossoul et à Bagdad. Enfin un partenariat vient d’être conclu avec une université brésilienne, pour des échanges entre la clinique et l’UFR de droit et cette université brésilienne (l’université d’Etat du Paraná Occidental (UNIOESTE), situé à Rua Universitária, 1619, cidade de Cascavel, Estado do Paraná, Brésil), mais une convention cadre plus générale a été conclue qui permettra à d’autres UFR de pratiquer des échanges internationaux et de monter des colloques, pour celles qui le souhaitent. 

Quelles perspectives pour la clinique juridique au sein de notre projet « Paris 8 en actes » ? D’abord, développer encore la clinique juridique à l’international, ce qui est prévu, notamment avec des pays d’Afrique, dans le cadre de projets qui pourraient être financés par le ministère des affaires étrangères. Un colloque international Cliniques juridiques pourrait être monté cette année qui permettrait d’attirer des enseignants chercheurs étrangers et de développer de nouveaux partenariats internationaux pour Paris 8. 

Surtout, le modèle de la clinique juridique pourrait être étendu à d’autres UFR. En effet, il s’agit d’un nouveau mode d’enseignement, fondé sur la méthode du learning by doing. Les étudiants sont directement mis en situation, ils apprennent ainsi les réflexes du ou des métiers auxquels ils se destinent, tout en rendant un précieux service à la communauté et au territoire. A la clinique juridique, les étudiants reçoivent des justiciables en situation de précarité et répondent à leurs questions de droit ; ils leur apportent ainsi une première aide juridique et les orientent ; surtout, ils leur permettent d’exercer leurs droits. On peut imaginer que ce nouveau mode d’enseignement, qui nécessite en amont une formation poussée des étudiants par les enseignants chercheurs cliniciens (il s’agit de donner aux étudiants les clés pour répondre aux demandes qui leur sont présentées, ce qui passe aussi par un transfert de connaissance, mais l’étudiant devient l’acteur de son propre apprentissage), pourrait être étendu à d’autres UFR : psychologie, économie ou informatique notamment."
"Audrey Fogels, MCF, littérature américaine, Département d’Etudes des Pays Anglophones","Je soutiens la liste d’Arnaud Laimé et de « Paris 8 en actes » car je partage sa vision d’une université ouverte et engagée qui favorise les réussites étudiantes, porte haut la recherche, et œuvre pour que tous les personnels puissent mener à bien leurs missions. 

Très attachée à l’accueil des étudiants et à leurs conditions d’étude, à la mise en place de formations innovantes et critiques ainsi qu’au dialogue, à la fois entre les différents acteurs de notre université mais aussi avec nos interlocuteurs et partenaires locaux, nationaux et internationaux, je souhaite poursuivre mon engagement en soutenant « Paris 8 en actes ». 

Élue MCF à Paris 8 en 1998, j’ai toujours eu à cœur de faire réussir les étudiants. Spécialiste de la littérature nord-américaine du long dix-neuvième et notamment des femmes écrivains de la Nouvelle-Angleterre, j’ai choisi d’enseigner à tous les niveaux d’étude (de la L1 au M2), je suis intervenue dans de nombreux diplômes (Licence Mondes anglophones ; Master MEEF, MC2L, Genre, DU Universitas) et j’ai proposé des enseignements variés (cours disciplinaires, transversaux, ateliers, etc.). 

J’ai en outre endossé des responsabilités administratives multiples qui m’ont permis de développer une connaissance fine des enjeux de Paris 8 (Coordinatrice du bureau des directeurs de composantes, co-directrice de l’UFR Langues et Cultures Étrangères, membre élue du CA, Chargée de mission des Cordées de la Réussite, responsable de département, membre du comité consultatif de la 11e section, responsable mobilité internationale pour la licence Mondes anglophones). 

J’ai enfin participé à l’élaboration de différents projets afin de continuer à faire de Paris 8 une université créative, en mouvement (création du master MC2L, co-construction du  schéma directeur des réussites étudiantes et de la direction des études). 

Aujourd’hui, je suis convaincue que l’équipe de « Paris 8 en actes » saura répondre de manière concrète aux défis qui attendent l’université tout en consolidant les chantiers nombreux et porteurs déjà engagés à Paris 8. "
"Benjamin FIORINI, Directeur de l’Institut d’Études Judiciaires, Maître de conférences en Droit privé","Lorsqu'en 2019, j'ai intégré l'Université Paris 8 en qualité de maître de conférences en droit privé et sciences criminelles, cela a été pour moi un grand bonheur et une immense fierté. J'ai toujours été fasciné par l'histoire de cette faculté, par son extraordinaire ouverture sur le monde, par les courants de la solidarité qui la traversent et par le vent de liberté qui y souffle. Si je choisis au-jourd'hui de soutenir le projet ""Paris 8 En Actes"" proposé par Arnaud Laimé, c'est parce qu'il me semble parfaitement correspondre à ces valeurs fondamentales qui font la richesse de notre Uni-versité et la rende si unique, si précieuse.

En quelques années, Paris 8 m'a permis de réaliser de nombreux projets, que ce soit sur le plan pédagogique ou en termes de médiation scientifique.

Parmi les réalisations déjà effectives, je pense notamment au projet ""Seine de crime"" qui, en réu-nissant les compétences et le savoir-faire des étudiants en droit et en cinéma, permet chaque an-née de réaliser des vidéos accessibles au grand public portant sur l'actualité du droit pénal, tout en renforçant les liens entre différents départements de notre université. Je pense également au combat que j'ai porté contre la disparition des jurés populaires de cour d'assises - la dimension démocratique et citoyenne de la justice me tenant à cœur -, avec le concours d'enseignants-chercheurs de notre université intervenant dans différentes disciplines, mais aussi en partenariat avec des organisations telles que la Ligue des Droits de l'Homme, le Syndicat de la Magistra-ture, le Syndicat des Avocats de France ou encore le Conseil National des Barreaux.

Au rang des réalisations à venir, je compte notamment développer l'Institut d'Études Judiciaire de notre l'Université, dont j'assure la direction depuis quelques mois. Créé en 2021 pour prépa-rer les étudiants à l'examen d'avocat, il proposera également, à partir de cette année, une prépara-tion au concours d'accès à l'École Nationale de la Magistrature... sans s'interdire de grandir en-core demain ! Par ailleurs, en ma qualité de Secrétaire général de l'association des Juristes pour le Respect du Droit International (JURDI), j'entends organiser un certain nombre d'évènements pour rappeler le caractère impératif du droit international humanitaire : dans un monde marqué par les guerres où la force voudrait l'emporter sur le droit, Paris 8 à le devoir d'exprimer cette voix d'humanité, seul chemin raisonnable vers la paix."
"Arnaud Regnauld, professeur de littérature américaine et traduction","Le multilinguisme au prisme de la justice épistémique <a href=""regnauld-multilinguisme.pdf"">Lire le PDF (238 ko.)</a>
<br>
Whither Epistemic Justice? The Case for SWAFs Initiatives, or How to Make the Concept of Epistemic Justice Concrete and Actionable? <a href=""regnauld-whither.pdf"">Lire le PDF (161 ko.)</a>"
